"Assay"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[individual]"	"Sample Characteristic Ontology Term[individual]"	"Sample Characteristic[strain]"	"Sample Characteristic Ontology Term[strain]"	"Sample Characteristic[age]"	"Sample Characteristic Ontology Term[age]"	"Sample Characteristic[sex]"	"Sample Characteristic Ontology Term[sex]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[cell type]"	"Sample Characteristic Ontology Term[cell type]"	"Sample Characteristic[stimulus]"	"Sample Characteristic Ontology Term[stimulus]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"	"Factor Value[strain]"	"Factor Value Ontology Term[strain]"	"Factor Value[age]"	"Factor Value Ontology Term[age]"	"Factor Value[stimulus]"	"Factor Value Ontology Term[stimulus]"	"Factor Value[cell type]"	"Factor Value Ontology Term[cell type]"
"ERR1525478"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4766"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525479"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4767"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525480"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4768"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525481"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4769"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525482"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4770"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525483"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4771"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525484"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4772"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525485"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4773"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525486"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4774"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525487"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4775"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525488"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4776"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525489"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4777"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525490"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4778"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525491"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4779"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525492"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4780"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525493"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4781"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525494"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4782"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525495"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4783"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525496"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4784"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525497"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4785"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525498"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4786"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525499"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4787"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525500"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4788"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525501"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4789"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525502"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4790"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525503"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4791"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525504"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4792"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525505"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4793"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525506"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4794"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525507"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4795"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525508"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4796"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525509"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4797"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525510"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4798"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525511"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4799"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
"ERR1525512"	"Mus musculus"	"http://purl.obolibrary.org/obo/NCBITaxon_10090"	"CAST young 1"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"male"	"http://purl.obolibrary.org/obo/PATO_0000384"	"spleen"	"http://purl.obolibrary.org/obo/UBERON_0002106"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"	"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"do4800"		"CAST/EiJ"	"http://www.ebi.ac.uk/efo/EFO_0007727"	"3.3 month"		"none"	"http://www.ebi.ac.uk/efo/EFO_0001461"	"naive thymus-derived CD4-positive, alpha-beta T cell"	"http://purl.obolibrary.org/obo/CL_0000895"
